"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gxs"
"remanei_genome_00004944",1.13650618424476,-1.86504930561012,3.04808333740309,-0.611876087088584,0.540619743977218,0.624806308236335,0
"remanei_genome_00005084",2180.0756715989,1.68840986139625,0.29943811363661,5.63859370101851,1.71444521857373e-08,1.22802122632723e-07,1
"remanei_genome_00005154",4.536343400225,-0.925290014707544,0.69442292467196,-1.33245891204505,0.182709434487287,0.262964980477031,0
"remanei_genome_00005271",8.43772229341399,3.27358498058351,0.776652497453956,4.21499318075338,2.49785736572031e-05,0.000117591876055257,1
"remanei_genome_00005296",1.88306532488925,2.40347874361385,1.61721951484115,1.48617965684759,0.137231606932704,0.20568046197213,0
"remanei_genome_00005313",1351.80440133364,0.993795778197538,0.31340108362506,3.17100300580477,0.00151913571226972,0.00454265824639879,1
"remanei_genome_00005317",6.70377247688237,2.77231884007941,0.875855010363142,3.16527142880643,0.0015493834166414,0.0045666037543115,1
"remanei_genome_00005457",2.53587162643051,4.17666686988061,1.46329810445511,2.85428297703965,0.00431340913567329,0.0106754434849481,1
"remanei_genome_00005479",1.20428682878786,3.06903321687032,2.67089569219328,1.14906517159796,0.250529108402222,0.34067534387587,0
"remanei_genome_00005481",18.2569800460568,3.89931903035595,0.683446059505662,5.70537934358176,1.16084263767137e-08,8.61541041934412e-08,1
"remanei_genome_00005819",1.36916351018957,-0.493539679728137,1.76126497317374,-0.28021886953148,0.779309590576112,0.819205985998097,0
"remanei_genome_00005894",177.845699270512,2.9880934692982,0.486953010754282,6.13630761758655,8.44615352719559e-10,7.65122143051836e-09,1
"remanei_genome_00005955",264.212761592305,0.817499741061995,0.29669255847339,2.75537662713342,0.00586246091039257,0.0138895227723147,1
"remanei_genome_00005991",2141.38253105022,2.0947781422946,0.291921250752549,7.17583299226911,7.18682430398784e-13,1.09598824267453e-11,1
"remanei_genome_00006049",660.664369789696,0.855592283334211,0.321240336546808,2.66340239999575,0.00773548482974351,0.0176483653893408,1
"remanei_genome_00006240",1.65913296743919,2.56603362221221,1.58294272128231,1.62105273154389,0.105006330146105,0.165856152230771,0
"remanei_genome_00006432",1.98262997400983,3.40154392586387,1.55019873357168,2.19426313039662,0.028216498402145,0.0548307981568496,0
"remanei_genome_00006436",4936.52645957344,2.67647877005107,0.54621545284608,4.90004220148872,9.58160718914577e-07,5.5161402135643e-06,1
"remanei_genome_00006468",55.6543080854851,0.847905437755283,0.297078253105454,2.85414845715517,0.0043152360840131,0.0106754434849481,1
"remanei_genome_00006483",0.891888281828378,-1.91135158395315,2.10996999372453,-0.905866713573125,0.365006404538717,0.4626418625429,0
"remanei_genome_00006466",12.0269425183505,1.00106039501656,0.758674718275116,1.31948563844663,0.187006808284116,0.26789812535585,0
"remanei_genome_00006561",18.5492748814221,-2.6482438885136,0.987330206245569,-2.68222715334907,0.00731337822608764,0.0167473642649442,-1
"remanei_genome_00006642",16.2034542083467,1.14794949060505,0.917766934853613,1.25080720061913,0.211004827167546,0.296755647340658,0
"remanei_genome_00006606",0.94837210307034,0.869612589837857,1.95407406190573,0.445025399390317,0.656301398874633,0.721931538762096,0
