"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00005317",6.70377247688237,0.0568640930823835,0.875854034233505,0.0649241664247714,0.948234379158932,0.971236213806889,0
"remanei_genome_00005457",2.53587162643051,-0.507217629604471,1.46329448173401,-0.346627173091924,0.728871428963423,0.803942456291116,0
"remanei_genome_00005481",18.2569800460568,-0.123238638384685,0.683445310495319,-0.180319678095924,0.856901607988697,0.901276869830969,0
"remanei_genome_00005819",1.36916351018957,-2.9190025468226,1.76126398911162,-1.65733391749804,0.0974519836084018,0.168821230427496,0
"remanei_genome_00005894",177.845699270512,0.934388737539384,0.486953000698948,1.91884788921767,0.055003587161359,0.10350515283719,0
"remanei_genome_00005955",264.212761592305,0.516821364074794,0.296692557473548,1.74194246217609,0.0815185128372687,0.144621698979371,0
"remanei_genome_00005991",2141.38253105022,0.760971501025985,0.291921250531974,2.60676980397711,0.00914007842909659,0.0207857382036212,1
"remanei_genome_00006049",660.664369789696,1.14633194145462,0.321240336336641,3.56845580018734,0.000359091415817808,0.00108464022521379,1
"remanei_genome_00006240",1.65913296743919,-1.31178759101895,1.58293966945305,-0.828703466299637,0.407272223861635,0.51922800834308,0
"remanei_genome_00006432",1.98262997400983,-0.259202966828028,1.55019526647906,-0.167206656111621,0.867207447330848,0.906635187739379,0
"remanei_genome_00006436",4936.52645957344,0.0329420994726692,0.546215452413899,0.0603097172133956,0.951908962818267,0.971706029635978,0
"remanei_genome_00006468",55.6543080854851,-0.334288439721299,0.2970782438516,-1.12525385698822,0.26048147689977,0.36704208108604,0
"remanei_genome_00006466",12.0269425183505,0.708022352156798,0.758674652572636,0.933235807675822,0.35069823041477,0.459025017142888,0
"remanei_genome_00006561",18.5492748814221,4.93940682690019,0.987331551089761,5.00278434478099,5.65081437924542e-07,2.39448177652917e-06,1
"remanei_genome_00006642",16.2034542083467,4.28056707820811,0.917767311925616,4.66410932551828,3.0995657500115e-06,1.24193484813386e-05,1
"remanei_genome_00006616",1.66384964719899,-3.21736094368828,1.35708739802277,-2.37078389230926,0.0177504063165658,0.0376078752534434,-1
"remanei_genome_00006682",37.7755004828271,-3.43731599783733,0.435222427552516,-7.89783747397203,2.837838445455e-15,2.53255582480757e-14,-1
"remanei_genome_00006776",24.3591899174209,1.64246983156202,0.663738464346556,2.47457382657342,0.0133395247534905,0.0289925464199481,1
"remanei_genome_00006838",1201.856516713,-4.43396536273347,0.405529705118221,-10.9337622047708,7.94832357687511e-28,1.87262503471178e-26,-1
